batchId,startFecha,startHora,startFechaHoraISO,endFecha,endHora,endFechaHoraISO,pn,piezasTotales,startAccum,endAccum,stations_json
D12192025S1C1,12/19/2025,07:00:00,2025-12-19T07:00:00,12/19/2025,15:00:00,2025-12-19T15:00:00,"WG REA FORD CA029",76,8,84,"[{""station"":""620"",""ok"":105,""nok"":0},{""station"":""730"",""ok"":114,""nok"":0},{""station"":""731"",""ok"":108,""nok"":0},{""station"":""750"",""ok"":108,""nok"":0},{""station"":""810"",""ok"":112,""nok"":3},{""station"":""915"",""ok"":108,""nok"":0},{""station"":""940"",""ok"":103,""nok"":0},{""station"":""960"",""ok"":94,""nok"":6},{""station"":""CHW"",""ok"":106,""nok"":0},{""station"":""CCC"",""ok"":104,""nok"":2},{""station"":""MAT"",""ok"":112,""nok"":0},{""station"":""EOL"",""ok"":76,""nok"":12}]"
D12192025S2C1,12/19/2025,15:00:00,2025-12-19T15:00:00,12/19/2025,22:30:00,2025-12-19T22:30:00,"WG REA FORD CA029",53,87,46,"[{""station"":""620"",""ok"":56,""nok"":0},{""station"":""730"",""ok"":55,""nok"":0},{""station"":""731"",""ok"":54,""nok"":0},{""station"":""750"",""ok"":48,""nok"":0},{""station"":""810"",""ok"":38,""nok"":7},{""station"":""915"",""ok"":49,""nok"":0},{""station"":""940"",""ok"":52,""nok"":0},{""station"":""960"",""ok"":53,""nok"":0},{""station"":""CHW"",""ok"":58,""nok"":0},{""station"":""CCC"",""ok"":57,""nok"":0},{""station"":""MAT"",""ok"":57,""nok"":0},{""station"":""EOL"",""ok"":53,""nok"":0}]"
D12192025S3C1,12/19/2025,22:30:00,2025-12-19T22:30:00,12/20/2025,07:00:00,2025-12-20T07:00:00,"WG REA FORD CA029",0,46,46,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D12202025S1C1,12/20/2025,07:00:00,2025-12-20T07:00:00,12/20/2025,15:00:00,2025-12-20T15:00:00,"WG REA FORD CA029",0,46,46,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D12202025S2C1,12/20/2025,15:00:00,2025-12-20T15:00:00,12/20/2025,22:30:00,2025-12-20T22:30:00,"WG REA FORD CA029",0,46,46,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D12202025S3C1,12/20/2025,22:30:00,2025-12-20T22:30:00,12/21/2025,07:00:00,2025-12-21T07:00:00,"WG REA FORD CA029",0,46,46,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D12212025S1C1,12/21/2025,07:00:00,2025-12-21T07:00:00,12/21/2025,15:00:00,2025-12-21T15:00:00,"WG REA FORD CA029",0,46,46,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D12212025S2C1,12/21/2025,15:00:00,2025-12-21T15:00:00,12/21/2025,22:30:00,2025-12-21T22:30:00,"WG REA FORD CA029",0,46,46,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D12212025S3C1,12/21/2025,22:30:00,2025-12-21T22:30:00,12/22/2025,07:00:00,2025-12-22T07:00:00,"WG REA FORD CA029",0,46,46,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D12222025S1C1,12/22/2025,07:00:00,2025-12-22T07:00:00,12/22/2025,9:36:13 AM,2025-12-22T9:36:13 AM,"WG REA FORD CA029",5,46,5,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":5,""nok"":0}]"
