batchId,startFecha,startHora,startFechaHoraISO,endFecha,endHora,endFechaHoraISO,pn,piezasTotales,startAccum,endAccum,stations_json
D09232025S1C1,9/23/2025,07:00:00,2025-09-23T07:00:00,9/23/2025,15:00:00,2025-09-23T15:00:00,"WG REA STELLANTIS CA028",521,236,0,"[{""station"":""620"",""ok"":536,""nok"":0},{""station"":""730"",""ok"":538,""nok"":0},{""station"":""731"",""ok"":538,""nok"":0},{""station"":""750"",""ok"":534,""nok"":0},{""station"":""810"",""ok"":532,""nok"":1},{""station"":""915"",""ok"":537,""nok"":0},{""station"":""940"",""ok"":527,""nok"":5},{""station"":""960"",""ok"":526,""nok"":2},{""station"":""CHW"",""ok"":538,""nok"":9},{""station"":""CCC"",""ok"":536,""nok"":2},{""station"":""MAT"",""ok"":534,""nok"":4},{""station"":""EOL"",""ok"":521,""nok"":5}]"
D09232025S2C1,9/23/2025,15:00:00,2025-09-23T15:00:00,9/23/2025,22:30:00,2025-09-23T22:30:00,"WG REA STELLANTIS CA028",1012,3,2,"[{""station"":""620"",""ok"":1076,""nok"":1},{""station"":""730"",""ok"":1092,""nok"":1},{""station"":""731"",""ok"":1092,""nok"":0},{""station"":""750"",""ok"":1076,""nok"":0},{""station"":""810"",""ok"":1070,""nok"":0},{""station"":""915"",""ok"":1077,""nok"":1},{""station"":""940"",""ok"":1053,""nok"":11},{""station"":""960"",""ok"":1027,""nok"":23},{""station"":""CHW"",""ok"":1073,""nok"":14},{""station"":""CCC"",""ok"":1077,""nok"":1},{""station"":""MAT"",""ok"":1075,""nok"":15},{""station"":""EOL"",""ok"":1012,""nok"":10}]"
D09232025S3C1,9/23/2025,22:30:00,2025-09-23T22:30:00,9/24/2025,6:00:35 AM,2025-09-24T6:00:35 AM,"WG REA STELLANTIS CA028",729,4,0,"[{""station"":""620"",""ok"":757,""nok"":4},{""station"":""730"",""ok"":760,""nok"":2},{""station"":""731"",""ok"":759,""nok"":0},{""station"":""750"",""ok"":756,""nok"":0},{""station"":""810"",""ok"":757,""nok"":0},{""station"":""915"",""ok"":763,""nok"":0},{""station"":""940"",""ok"":765,""nok"":2},{""station"":""960"",""ok"":745,""nok"":0},{""station"":""CHW"",""ok"":767,""nok"":10},{""station"":""CCC"",""ok"":763,""nok"":5},{""station"":""MAT"",""ok"":756,""nok"":4},{""station"":""EOL"",""ok"":729,""nok"":9}]"
D09232025S3C2,9/24/2025,6:01:35 AM,2025-09-24T6:01:35 AM,9/24/2025,07:00:00,2025-09-24T07:00:00,"WG REA STELLANTIS CA028 REWORK EOL",86,0,86,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":86,""nok"":17}]"
D09242025S1C1,9/24/2025,07:00:00,2025-09-24T07:00:00,9/24/2025,10:05:35 AM,2025-09-24T10:05:35 AM,"WG REA STELLANTIS CA028 REWORK EOL",166,1,0,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":1,""nok"":0},{""station"":""731"",""ok"":1,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":1,""nok"":0},{""station"":""CCC"",""ok"":1,""nok"":0},{""station"":""MAT"",""ok"":1,""nok"":0},{""station"":""EOL"",""ok"":166,""nok"":27}]"
D09242025S1C2,9/24/2025,10:06:35 AM,2025-09-24T10:06:35 AM,9/24/2025,15:00:00,2025-09-24T15:00:00,"WG REA STELLANTIS CA042",68,0,68,"[{""station"":""620"",""ok"":113,""nok"":0},{""station"":""730"",""ok"":124,""nok"":0},{""station"":""731"",""ok"":115,""nok"":9},{""station"":""750"",""ok"":115,""nok"":0},{""station"":""810"",""ok"":114,""nok"":0},{""station"":""915"",""ok"":120,""nok"":0},{""station"":""940"",""ok"":113,""nok"":0},{""station"":""960"",""ok"":87,""nok"":5},{""station"":""CHW"",""ok"":117,""nok"":1},{""station"":""CCC"",""ok"":112,""nok"":5},{""station"":""MAT"",""ok"":115,""nok"":0},{""station"":""EOL"",""ok"":68,""nok"":0}]"
D09242025S2C1,9/24/2025,15:00:00,2025-09-24T15:00:00,9/24/2025,5:39:37 PM,2025-09-24T5:39:37 PM,"WG REA STELLANTIS CA042",245,71,313,"[{""station"":""620"",""ok"":258,""nok"":1},{""station"":""730"",""ok"":262,""nok"":0},{""station"":""731"",""ok"":263,""nok"":0},{""station"":""750"",""ok"":263,""nok"":0},{""station"":""810"",""ok"":257,""nok"":0},{""station"":""915"",""ok"":238,""nok"":0},{""station"":""940"",""ok"":243,""nok"":0},{""station"":""960"",""ok"":239,""nok"":2},{""station"":""CHW"",""ok"":257,""nok"":8},{""station"":""CCC"",""ok"":257,""nok"":0},{""station"":""MAT"",""ok"":262,""nok"":2},{""station"":""EOL"",""ok"":245,""nok"":1}]"
D09242025S2C2,9/24/2025,5:40:37 PM,2025-09-24T5:40:37 PM,9/24/2025,5:43:37 PM,2025-09-24T5:43:37 PM,"WG REA GM CS022 REWORK EOL",0,313,313,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D09242025S2C3,9/24/2025,5:44:37 PM,2025-09-24T5:44:37 PM,9/24/2025,6:08:37 PM,2025-09-24T6:08:37 PM,"WG REA STELLANTIS CA042 REWORK EOL",22,313,335,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":2,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":22,""nok"":0}]"
D09242025S2C4,9/24/2025,6:09:37 PM,2025-09-24T6:09:37 PM,9/24/2025,6:50:37 PM,2025-09-24T6:50:37 PM,"WG REA STELLANTIS CA042",72,335,407,"[{""station"":""620"",""ok"":76,""nok"":0},{""station"":""730"",""ok"":77,""nok"":0},{""station"":""731"",""ok"":77,""nok"":0},{""station"":""750"",""ok"":77,""nok"":0},{""station"":""810"",""ok"":78,""nok"":0},{""station"":""915"",""ok"":77,""nok"":0},{""station"":""940"",""ok"":75,""nok"":0},{""station"":""960"",""ok"":73,""nok"":0},{""station"":""CHW"",""ok"":76,""nok"":1},{""station"":""CCC"",""ok"":76,""nok"":0},{""station"":""MAT"",""ok"":77,""nok"":0},{""station"":""EOL"",""ok"":72,""nok"":1}]"
