fecha;dia;meta;real
2025-05-01;Jue;2;0
2025-05-02;Vie;0;0
2025-05-03;Sáb;0;0
2025-05-04;Dom;0;0
2025-05-05;Lun;0;0
2025-05-06;Mar;0;0
2025-05-07;Mié;0;0
2025-05-08;Jue;0;0
2025-05-09;Vie;0;0
2025-05-10;Sáb;0;0
2025-05-11;Dom;0;0
2025-05-12;Lun;0;0
2025-05-13;Mar;0;0
2025-05-14;Mié;0;0
2025-05-15;Jue;0;0
2025-05-16;Vie;0;0
2025-05-17;Sáb;0;0
2025-05-18;Dom;0;0
2025-05-19;Lun;0;0
2025-05-20;Mar;0;0
2025-05-21;Mié;0;0
2025-05-22;Jue;0;0
2025-05-23;Vie;0;0
2025-05-24;Sáb;0;0
2025-05-25;Dom;0;0
2025-05-26;Lun;0;0
2025-05-27;Mar;0;0
2025-05-28;Mié;0;0
2025-05-29;Jue;0;0
2025-05-30;Vie;0;0
2025-05-31;Sáb;0;0
2025-06-01;Dom;8;1
2025-06-02;Lun;3;4
2025-06-26;Jue;3;2
