fecha;area;linea;pn;hora_paro;hora_arranque;diferencia_minutos;categoria;estacion;modo_falla;descripcion_modo_falla;descripcion;paro_programado;ajuste_proceso
2025-03-10;REA;Actuadores;3140CA029;14:59;15:01;2;Producción;REA;General;TBD;Cambio de turno,,,,,,;si;no
2025-03-10;REA;Actuadores;3140CA029;15:24;15:25;1;Fallo;Robots;R75;Gripper/tool adjustments;Gripper no abrio correctamente,,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;15:36;15:39;3;Fallo;USW;St11;Weld NOK;Se cambia cinta y se limpia,,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;15:41;15:49;8;Fallo;USW;St11;Weld NOK;Se cambia cinta, se cambia goma,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;16:20;16:22;2;Fallo;Press_731;General;Presence sensor;no detecto pin,,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;16:00;16:07;7;Fallo;USW;St11;Weld NOK;cambio de cinta,,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;16:25;16:26;1;Fallo;Aux;St_710;Presence sensor;Motor mal orientacion ,,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;16:33;16:34;1;Fallo;Robots;R75;Motion supervision/Joint collision;Gripper 4 (gripper 2 del robot), se queda atorado,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;16:47;16:48;1;Fallo;USW;St14;Ateq;limpieza de jig,,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;17:17;17:19;2;Fallo;Press_731;General;Feed piston;Pin inclinado, acomodar manual,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;17:19;17:20;1;Fallo;Robots;R80;Gripper/tool adjustments;no abrio gripper,,,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;09:46;09:49;3;Fallo;Robots;R70;Vacuum system;Ventosa caida, se repone, se revisan actuadores,,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;09:35;09:38;3;Fallo;Robots;R70;Vacuum system;Ventosa rota no hace suficiente vacio, se salta algunos gears y causa lentitud en el proceso, se busca fuga, se arregla,,,;no;no
2025-03-10;REA;Actuadores;3140CA029;09:44;09:46;2;Producción;Conveyors;C_31;Presence sensor;Operador introduce blister roto, no detectable,,,,,;no;no
